2018-03-27 14:14:05,866 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 2000 | introduced=1986-01-01 | discontinued=1990-01-01 | companyId=Commodore International
2018-03-27 14:14:05,866 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 3000 | introduced=null | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,866 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 600 | introduced=1992-03-01 | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,866 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh 128K | introduced=1984-01-01 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,867 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh 512K | introduced=1984-09-10 | discontinued=1986-04-14 | companyId=Apple Inc.
2018-03-27 14:14:05,867 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh SE | introduced=1987-03-02 | discontinued=1989-08-01 | companyId=Apple Inc.
2018-03-27 14:14:05,867 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Macintosh SE/30 | introduced=1989-01-19 | discontinued=1991-10-21 | companyId=Apple Inc.
2018-03-27 14:14:05,868 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Canon Cat | introduced=1987-01-01 | discontinued=null | companyId=Canon
2018-03-27 14:14:05,868 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Nokia 770 | introduced=null | discontinued=null | companyId=Nokia
2018-03-27 14:14:05,868 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Nokia N800 | introduced=2007-01-01 | discontinued=null | companyId=Nokia
2018-03-27 14:14:05,868 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Mylo | introduced=2006-09-21 | discontinued=null | companyId=Sony
2018-03-27 14:14:05,868 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=OQO 02 | introduced=2007-01-01 | discontinued=null | companyId=OQO
2018-03-27 14:14:05,868 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=OQO 01+ | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,868 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Pinwheel calculator | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,868 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=iBook | introduced=null | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,869 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=MacBook | introduced=2006-05-16 | discontinued=null | companyId=Apple Inc.
2018-03-27 14:14:05,869 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=NeXTstation | introduced=1990-01-01 | discontinued=1993-01-01 | companyId=NeXT
2018-03-27 14:14:05,869 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=NeXTcube | introduced=1988-01-01 | discontinued=1993-01-01 | companyId=NeXT
2018-03-27 14:14:05,869 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=NeXTstation Color Turbo | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,869 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=NeXTstation Color | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,869 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=NeXTstation Turbo | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,869 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=NeXTcube Turbo | introduced=null | discontinued=null | companyId=NeXT
2018-03-27 14:14:05,869 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=NeXTcube 040 | introduced=null | discontinued=null | companyId=NeXT
2018-03-27 14:14:05,870 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=NeXTcube 030 | introduced=null | discontinued=null | companyId=NeXT
2018-03-27 14:14:05,870 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Tinkertoy Tic-Tac-Toe Computer | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,870 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Z3 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,870 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Z4 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,870 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Z1 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,870 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Z2 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,870 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Wang 2200 | introduced=1973-05-01 | discontinued=null | companyId=null
2018-03-27 14:14:05,870 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Wang VS | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,870 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Wang OIS | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,870 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=BBC Micro | introduced=null | discontinued=null | companyId=Acorn computer
2018-03-27 14:14:05,871 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=IBM 650 | introduced=null | discontinued=null | companyId=IBM
2018-03-27 14:14:05,871 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray-1 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,871 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray-3 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,871 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray-2 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,871 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray-4 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,871 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray X1 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,871 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray XD1 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,871 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray T3D | introduced=1993-01-01 | discontinued=null | companyId=null
2018-03-27 14:14:05,871 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray T3E | introduced=1995-01-01 | discontinued=null | companyId=null
2018-03-27 14:14:05,871 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray C90 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,872 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray T90 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,872 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray SV1 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,872 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray J90 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,872 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray XT3 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,872 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Cray CS6400 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,872 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Atari ST | introduced=1985-01-01 | discontinued=1993-01-01 | companyId=Atari
2018-03-27 14:14:05,872 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 2500 | introduced=null | discontinued=null | companyId=null
2018-03-27 14:14:05,872 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 2500 | introduced=null | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,872 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 4000 | introduced=null | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,872 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 3000UX | introduced=null | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,873 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 3000T | introduced=null | discontinued=null | companyId=Commodore International
2018-03-27 14:14:05,873 [DEBUG] (ComputerDAO.java:listComputer:102) toComputer :  | name=Amiga 4000T | introduced=null | discontinued=null | companyId=Commodore International
